key	en	cs	th	jp
title	Sliding Puzzle	Patnáctka	จิ๊กซอว์ภาพเลื่อน	スライディングパズル
short_desc	Classical sliding puzzle game (aka The 15 Puzzle)	Klasický posunovací hlavolam	เกมส์จิ๊กซอว์ฉบับคลาสสิค (15 ชิ้น)	昔ながらのスライディングパズル（15ピース）
full_desc	Classical sliding puzzle game (aka The 15 Puzzle) Features: •        Works in fullscreen •        Variable grid size 3x3 - 6x6 •        Uses default saved pictures, photos from your device's camera or pictures from Flickr •        Free, no adds	Klasický posunovací hlavolam Vlastnosti: •        Pracuje v režimu celé obrazovky •        Nastavitelná velikost mřížky 3x3 - 6x6 •        Jako podklad používá vedle uložených obrázků i fotografie ze zařízení a obrázky ze serveru Flickr •        Zdarma, bez reklam	เกมส์จิ๊กซอว์ภาพเลื่อนฉบับคลาสสิค (15 ชิ้น) ลักษณะพิเศษ: •        แสดงภาพเต็มจอ •        ขนาดตารางที่หลากหลาย 3x3 - 6x6 •        สามารถตั้งค่าเพื่อเลือกรูปภาพจากอัลบั้ม จากกล้องของคุณหรือจาก Flickr •        ฟรี ไม่มีโฆษณา   	昔ながらのスライディングパズル（15ピース） 特徴： ・フルスクリーンで遊べます ・3×3から6×6のグリッドサイズを選べます ・あなたのオリジナル写真やFlickrの写真を使って、パズルが作れます ・無料のアプリです。課金はありません。
